service_name,attribute_name,tc_count,ratio
1.가입,ui_visibility,151,0.5101
1.가입,data_change,4,0.0135
1.가입,function_behavior,54,0.1824
1.가입,permission_auth,176,0.5946
1.가입,exception_error,96,0.3243
1.가입,network_server,16,0.0541
1.가입,notification,71,0.2399
1.가입,multi_device_os,33,0.1115
1.가입,state_persistence,17,0.0574
1.가입,content_media,18,0.0608
1.가입,has_precondition,185,0.625
1.가입,automation_candidate,157,0.5304
1.가입,manual_required,10,0.0338
1.가입,compound:UI노출확인+권한인증확인+예외에러확인+알림푸시확인,21,0.0709
1.가입,compound:권한인증확인+예외에러확인,20,0.0676
1.가입,compound:UI노출확인+기능동작확인+권한인증확인,16,0.0541
1.가입,compound:UI노출확인+권한인증확인,13,0.0439
1.가입,compound:기능동작확인+권한인증확인,12,0.0405
1.가입,compound:권한인증확인+예외에러확인+알림푸시확인,8,0.027
1.가입,compound:UI노출확인+콘텐츠미디어확인,7,0.0236
1.가입,compound:권한인증확인+알림푸시확인,6,0.0203
1.가입,compound:UI노출확인+권한인증확인+예외에러확인+알림푸시확인+설정상태유지,6,0.0203
1.가입,compound:UI노출확인+멀티디바이스OS,5,0.0169
1.가입,compound:UI노출확인+권한인증확인+예외에러확인+알림푸시확인+멀티디바이스OS,5,0.0169
1.가입,compound:UI노출확인+예외에러확인+알림푸시확인+멀티디바이스OS,4,0.0135
1.가입,compound:기능동작확인+권한인증확인+예외에러확인+알림푸시확인,3,0.0101
1.가입,compound:데이터변경확인+권한인증확인,3,0.0101
1.가입,compound:권한인증확인+예외에러확인+멀티디바이스OS,3,0.0101
1.가입,compound:기능동작확인+권한인증확인+설정상태유지,3,0.0101
1.가입,compound:UI노출확인+권한인증확인+네트워크서버연동,3,0.0101
1.가입,compound:UI노출확인+기능동작확인+예외에러확인+알림푸시확인,3,0.0101
1.가입,compound:UI노출확인+기능동작확인+권한인증확인+예외에러확인+멀티디바이스OS,3,0.0101
1.가입,compound:UI노출확인+기능동작확인+권한인증확인+예외에러확인+알림푸시확인,2,0.0068
